Car	Manufacturer	MPG	Cylinders	Displacement	Horsepower	Weight	Acceleration	Model Year	Origin	
chevelle malibu	chevrolet	18,0	8	307,0	130	3504	12,0	70	American	
skylark 320	buick	15,0	8	350,0	165	3693	11,5	70	American	
satellite	plymouth	18,0	8	318,0	150	3436	11,0	70	American	
rebel sst	amc	16,0	8	304,0	150	3433	12,0	70	American	
torino	ford	17,0	8	302,0	140	3449	10,5	70	American	
galaxie 500	ford	15,0	8	429,0	198	4341	10,0	70	American	
impala	chevrolet	14,0	8	454,0	220	4354	9,0	70	American	
fury iii	plymouth	14,0	8	440,0	215	4312	8,5	70	American	
catalina	pontiac	14,0	8	455,0	225	4425	10,0	70	American	
ambassador dpl	amc	15,0	8	390,0	190	3850	8,5	70	American	
ds-21 pallas	citroen	NA	4	133,0	115	3090	17,5	70	European	
chevelle concours (sw)	chevrolet	NA	8	350,0	165	4142	11,5	70	American	
torino (sw)	ford	NA	8	351,0	153	4034	11,0	70	American	
satellite (sw)	plymouth	NA	8	383,0	175	4166	10,5	70	American	
rebel sst (sw)	amc	NA	8	360,0	175	3850	11,0	70	American	
challenger se	dodge	15,0	8	383,0	170	3563	10,0	70	American	
'cuda 340	plymouth	14,0	8	340,0	160	3609	8,0	70	American	
mustang boss 302	ford	NA	8	302,0	140	3353	8,0	70	American	
monte carlo	chevrolet	15,0	8	400,0	150	3761	9,5	70	American	
estate wagon (sw)	buick	14,0	8	455,0	225	3086	10,0	70	American	
corona mark ii	toyota	24,0	4	113,0	95	2372	15,0	70	Japanese	
duster	plymouth	22,0	6	198,0	95	2833	15,5	70	American	
hornet	amc	18,0	6	199,0	97	2774	15,5	70	American	
maverick	ford	21,0	6	200,0	85	2587	16,0	70	American	
pl510	datsun	27,0	4	97,0	88	2130	14,5	70	Japanese	
1131 deluxe sedan	vw	26,0	4	97,0	46	1835	20,5	70	European	
504	peugeot	25,0	4	110,0	87	2672	17,5	70	European	
100 ls	audi	24,0	4	107,0	90	2430	14,5	70	European	
99e	saab	25,0	4	104,0	95	2375	17,5	70	European	
2002	bmw	26,0	4	121,0	113	2234	12,5	70	European	
gremlin	amc	21,0	6	199,0	90	2648	15,0	70	American	
f250	ford	10,0	8	360,0	215	4615	14,0	70	American	
